sku,mfg_part_no,product_name,brand,category,base_price
,K64431WW ClickSafe 2.0,Kensington Lock K64431WW ClickSafe 2.0,Kensington,Security,
,K68100AM MiniSaver,Kensington Lock K68100AM MiniSaver,Kensington,Security,
,5060408461426,YubiKey Security Key 5 NFC,YubiKey,Security,
,5060408461440,YubiKey Security Key 5C NFC,YubiKey,Security,
,R31210315-1,HID Smart Card Reader OMNIKEY 3121,HID,Security,
,900NTNNEK20000,HID Badge Reader multiCLASS SE RP40,HID,Security,
,905430-1,Identiv Smart Card Reader SCR3310v2.0,Identiv,Security,
