sku,mfg_part_no,product_name,brand,category,base_price
,7230-87160-001,Poly Camera Studio E70,Poly,VideoConf,
,960-001339,Logitech Video Bar Rally Bar Mini,Logitech,VideoConf,
,960-001308,Logitech Video Bar Rally Bar,Logitech,VideoConf,
,MeetingBar-A20,Yealink Video Bar MeetingBar A20,Yealink,VideoConf,
,PanaCast 50 + Speak2 75,Jabra Speakerphone PanaCast 50 + Speak2 75,Jabra,VideoConf,
,7700-309,Jabra Speakerphone Speak2 55 UC,Jabra,VideoConf,
,CS-KITMINII-K9,Cisco Codec Room Kit Mini,Cisco,VideoConf,
