sku,mfg_part_no,product_name,brand,category,base_price
,W1A53A,HP LaserJet LaserJet Pro M404dn,HP,Printers,
,1PV87A,HP LaserJet LaserJet Enterprise M507dn,HP,Printers,
,W1Y44A,HP Color LaserJet Color LaserJet Pro M454dn,HP,Printers,
,MFCL8905CDW,Brother Laser MFP MFC-L8905CDW,Brother,Printers,
,29S0060,Lexmark Laser MS431dn,Lexmark,Printers,
,ZD4A042-301E00EZ,Zebra Label ZD421,Zebra,Printers,
,imageFORMULA DR-C230,Canon Scanner imageFORMULA DR-C230,Canon,Printers,
,PA03810-B055,Fujitsu Scanner fi-8150,Fujitsu,Printers,
