sku,mfg_part_no,product_name,brand,category,base_price
,AV10091bt2M-BLK,Belkin HDMI AV10091bt2M-BLK,Belkin,Cables,
,DP14MM3M,StarTech DisplayPort DP14MM3M,StarTech,Cables,
,CDP2HDMM2MH,StarTech USB-C to HDMI CDP2HDMM2MH,StarTech,Cables,
,U420-C06-5A3,Tripp Lite USB-C U420-C06-5A3,Tripp Lite,Cables,
,27150,C2G Cat6 Patch 27150,C2G,Cables,
,6ASPAT7GRS,StarTech Cat6A Patch 6ASPAT7GRS,StarTech,Cables,
,CAB001bt2M-BLK,Belkin USB-A to USB-C CAB001bt2M-BLK,Belkin,Cables,
,44258,Monoprice Thunderbolt 4 44258,Monoprice,Cables,
